,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
8,Brent Burns,38.0,D,47,8,18,26,14,14,4,3,1,0,9,9,0,117,6.8,1014.0,21:34,2.0,3.4,5.4,38,14,0,0,,6-5,230,R/-,19,1980000.0,CAR
9,Jack Drury,23.0,C,47,8,13,21,4,16,6,2,0,0,9,4,0,60,13.3,539.0,11:28,1.3,0.9,2.1,17,15,221,190,53.8,5-11,174,L/-,2,832500.0,CAR
10,Jaccob Slavin,29.0,D,47,4,16,20,11,6,2,0,2,0,15,0,1,91,4.4,984.0,20:56,1.1,3.1,4.2,73,22,0,0,,6-3,207,L/-,8,5500000.0,CAR
11,Jesperi Kotkaniemi,23.0,C,47,9,9,18,-11,28,8,1,0,0,7,1,1,91,9.9,677.0,14:24,0.7,0.5,1.2,24,26,223,228,49.4,6-2,201,L/-,5,4500000.0,CAR
12,Jordan Martinook,31.0,LW,47,7,9,16,-1,18,7,0,0,1,9,0,0,92,7.6,701.0,14:55,0.2,0.9,1.1,17,29,28,18,60.9,6-0,196,L/-,9,2700000.0,CAR
13,Dmitry Orlov,32.0,D,47,2,14,16,-8,28,1,0,1,0,11,3,0,74,2.7,781.0,16:37,0.7,1.3,2.0,31,49,0,0,,5-11,214,L/-,11,4750000.0,CAR
14,Jordan Staal,35.0,C,47,6,9,15,-13,26,6,0,0,2,7,1,1,76,7.9,740.0,15:45,-0.1,0.5,0.5,24,65,475,358,57.0,6-4,220,L/-,17,3450000.0,CAR
15,Jalen Chatfield,27.0,D,42,4,8,12,-1,12,4,0,0,0,8,0,0,54,7.4,626.0,14:54,0.7,1.4,2.2,41,27,0,0,,6-1,188,R/-,3,775000.0,CAR
16,Jesper Fast,32.0,RW,44,4,7,11,-2,8,4,0,0,0,7,0,0,48,8.3,573.0,13:01,-0.2,0.7,0.5,14,32,4,4,50.0,6-1,191,R/-,10,2400000.0,CAR
17,Tony DeAngelo,28.0,D,21,2,7,9,-11,14,0,2,0,0,3,4,0,33,6.1,299.0,14:15,0.7,-0.1,0.6,9,2,0,0,,5-11,180,R/-,7,,CAR
18,Brett Pesce,29.0,D,39,3,4,7,-3,10,3,0,0,1,4,0,0,57,5.3,791.0,20:17,0.0,1.7,1.6,68,12,0,0,,6-3,206,R/-,8,4025000.0,CAR
19,Brendan Lemieux,27.0,LW,20,2,1,3,-2,40,2,0,0,1,1,0,0,15,13.3,152.0,7:36,0.1,0.1,0.2,2,30,4,7,36.4,6-1,215,L/-,6,800000.0,CAR
20,Pyotr Kochetkov,24.0,G,23,0,0,0,0,4,0,0,0,0,0,0,0,0,,1256.0,54:37,0.0,0.0,2.9,0,0,0,0,,6-3,205,-/L,2,1500000.0,CAR
21,Spencer Martin,28.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,0.2,0,0,0,0,,6-3,191,-/L,3,775000.0,CAR
22,Antti Raanta,34.0,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,1185.0,53:52,0.0,0.0,1.1,0,0,0,0,,6-0,195,-/L,10,1500000.0,CAR
0,Sidney Crosby,36.0,C,45,27,22,49,19,24,21,6,0,3,18,4,0,166,16.3,914.0,20:19,4.8,1.7,6.5,22,47,617,430,58.9,5-11,200,L/-,18,3000000.0,PIT
1,Jake Guentzel,29.0,C,45,21,27,48,12,14,17,4,0,2,20,7,0,167,12.6,945.0,21:00,4.1,1.5,5.5,18,29,4,12,25.0,5-11,180,L/-,7,6000000.0,PIT
