,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
18,Denis Gurianov,26.0,RW,9,1,1,2,4,0,1,0,0,0,1,0,0,19,5.3,116.0,12:52,0.0,0.3,0.3,6,10,0,0,,6-3,205,L/-,6,850000.0,NSH
19,Kevin Lankinen,28.0,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,653.0,50:15,0.0,0.0,1.7,0,0,0,0,,6-2,185,-/L,3,2000000.0,NSH
20,Juuse Saros,28.0,G,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,2121.0,55:49,0.0,0.0,6.2,0,0,0,0,,5-11,180,-/L,8,6000000.0,NSH
0,Clayton Keller,25.0,C,47,20,25,45,-15,24,14,6,0,4,12,13,0,144,13.9,909.0,19:21,3.8,0.6,4.4,17,10,19,25,43.2,5-10,178,L/-,7,6000000.0,ARI
1,Matias Maccelli,23.0,LW,47,7,25,32,-3,6,6,1,0,1,20,4,1,84,8.3,777.0,16:31,1.6,0.9,2.5,18,9,2,4,33.3,5-11,176,L/-,2,3000000.0,ARI
2,Lawson Crouse,26.0,LW,46,19,10,29,0,30,15,4,0,1,6,3,1,102,18.6,788.0,17:07,2.5,1.0,3.4,29,80,20,39,33.9,6-4,215,L/-,7,4600000.0,ARI
3,Nick Schmaltz,27.0,C,44,13,16,29,-11,6,6,7,0,3,10,6,0,95,13.7,855.0,19:26,1.7,0.7,2.4,26,2,100,133,42.9,6-0,181,R/-,7,7500000.0,ARI
4,Sean Durzi,25.0,D,41,8,20,28,8,39,5,3,0,1,13,7,0,74,10.8,913.0,22:17,2.3,2.7,5.0,87,17,0,0,,6-0,195,R/-,2,2000000.0,ARI
5,Alexander Kerfoot,29.0,C,47,7,21,28,-4,18,4,2,1,3,13,7,1,65,10.8,840.0,17:52,1.1,0.9,2.0,27,26,221,253,46.6,5-11,186,L/-,6,3000000.0,ARI
6,Nick Bjugstad,31.0,C,47,10,17,27,1,30,7,2,1,1,14,3,0,98,10.2,830.0,17:40,1.3,1.1,2.3,28,62,400,398,50.1,6-6,209,R/-,11,2100000.0,ARI
7,Logan Cooley,19.0,C,47,5,19,24,-11,14,3,2,0,1,11,8,0,75,6.7,759.0,16:08,0.7,0.5,1.2,20,26,159,227,41.2,5-10,174,L/-,0,855000.0,ARI
8,Michael Carcone,27.0,F,44,15,5,20,1,18,13,1,1,2,4,1,0,63,23.8,497.0,11:17,2.0,0.7,2.7,16,31,1,6,14.3,5-9,170,L/-,2,775000.0,ARI
9,Jason Zucker,32.0,LW,37,7,10,17,4,42,4,3,0,0,8,2,0,80,8.8,535.0,14:28,0.8,0.8,1.7,11,45,10,17,37.0,5-11,192,L/-,12,5300000.0,ARI
10,J.J. Moser,23.0,D,45,3,14,17,7,15,3,0,0,0,11,1,2,41,7.3,909.0,20:12,0.8,2.6,3.4,69,44,0,0,,6-1,173,L/-,2,832500.0,ARI
11,Jack McBain,24.0,C,32,6,9,15,3,31,6,0,0,1,9,0,0,30,20.0,416.0,13:01,0.9,0.6,1.5,19,67,142,174,44.9,6-3,201,L/-,2,1599999.0,ARI
12,Michael Kesselring,24.0,D,30,4,7,11,1,32,4,0,0,1,7,0,0,34,11.8,421.0,14:03,0.9,1.0,2.0,18,37,0,0,,6-4,190,R/-,1,832500.0,ARI
