,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,Tomas Hertl,30.0,C,48,15,19,34,-26,22,9,5,1,1,15,4,0,113,13.3,1003.0,20:54,2.0,0.5,2.4,46,38,506,392,56.3,6-3,215,L/-,10,7500000.0,SJS
1,William Eklund,21.0,LW,50,8,16,24,-22,24,4,4,0,4,13,2,1,78,10.3,916.0,18:20,0.6,0.5,1.1,44,17,20,34,37.0,5-11,181,L/-,2,832500.0,SJS
2,Fabian Zetterlund,24.0,W,51,14,7,21,-18,21,11,2,1,0,5,2,0,122,11.5,948.0,18:35,0.8,0.7,1.4,46,49,13,21,38.2,5-11,220,R/-,2,1400000.0,SJS
3,Mike Hoffman,34.0,C,49,8,10,18,-16,18,6,2,0,1,8,2,0,58,13.8,709.0,14:28,0.6,0.4,1.0,22,19,11,17,39.3,6-0,190,L/-,12,5000000.0,SJS
4,Anthony Duclair,28.0,LW,46,9,8,17,-12,28,7,2,0,1,4,4,0,72,12.5,729.0,15:50,0.5,0.6,1.1,22,23,10,18,35.7,5-11,197,L/-,9,4000000.0,SJS
5,Filip Zadina,24.0,RW,46,5,8,13,-26,8,4,1,0,1,7,1,0,81,6.2,588.0,12:47,0.1,-0.1,0.0,19,24,14,43,24.6,6-0,200,L/-,5,1100000.0,SJS
6,Jan Rutta,33.0,D,45,3,9,12,-11,18,3,0,0,1,7,0,2,43,7.0,874.0,19:25,0.4,1.6,1.9,70,37,0,0,,6-3,204,R/-,6,2500000.0,SJS
7,Alexander Barabanov,29.0,F,31,3,6,9,-18,6,3,0,0,0,5,1,0,44,6.8,508.0,16:23,-0.2,0.1,-0.2,10,16,0,1,0.0,5-10,195,L/-,3,2000000.0,SJS
8,Ryan Carpenter,33.0,C,34,3,6,9,1,4,3,0,0,0,6,0,0,32,9.4,391.0,11:30,0.1,0.6,0.7,19,24,142,157,47.5,6-1,198,R/-,8,775000.0,SJS
9,Ty Emberson,23.0,D,23,1,8,9,0,2,1,0,0,0,7,1,0,22,4.5,434.0,18:53,0.4,1.2,1.6,33,47,0,0,,6-1,195,R/-,0,775000.0,SJS
10,Luke Kunin,26.0,C,46,6,2,8,-16,51,5,1,0,1,1,1,0,63,9.5,686.0,14:55,-0.5,0.4,-0.2,33,77,111,143,43.7,6-0,197,R/-,6,3000000.0,SJS
11,Justin Bailey,28.0,RW,30,3,5,8,-3,2,3,0,0,0,4,1,0,36,8.3,346.0,11:32,0.1,0.4,0.5,16,28,5,6,45.5,6-4,214,R/-,7,775000.0,SJS
12,Jacob MacDonald,30.0,D,19,6,1,7,-10,21,3,3,0,0,0,1,0,34,17.6,231.0,12:08,1.0,-0.1,0.9,9,16,0,2,0.0,6-0,204,L/-,4,775000.0,SJS
13,Nico Sturm,28.0,C,32,3,4,7,-9,12,3,0,0,0,4,0,0,33,9.1,471.0,14:44,-0.3,0.3,0.0,22,18,257,167,60.6,6-3,209,L/-,5,2000000.0,SJS
14,Kevin Labanc,28.0,RW,32,2,5,7,-16,8,2,0,0,0,2,3,0,43,4.7,377.0,11:47,-0.2,-0.1,-0.2,11,27,3,13,18.8,5-11,185,R/-,7,5875000.0,SJS
15,Calen Addison,23.0,D,31,1,6,7,-15,22,1,0,0,0,2,4,0,37,2.7,545.0,17:36,0.1,0.4,0.5,43,9,0,0,,5-11,173,R/-,3,825000.0,SJS
16,Marc-Edouard Vlasic,36.0,D,29,5,1,6,-11,6,5,0,0,1,1,0,0,40,12.5,458.0,15:47,0.5,0.4,0.9,53,16,0,0,,6-1,205,L/-,17,7250000.0,SJS
17,Kyle Burroughs,28.0,D,44,1,5,6,-24,51,1,0,0,0,5,0,0,48,2.1,841.0,19:07,-0.4,0.5,0.1,85,108,0,0,,6-0,195,R/-,3,1100000.0,SJS
18,Logan Couture,34.0,C,6,0,1,1,0,4,0,0,0,0,1,0,0,7,0.0,113.0,18:45,-0.2,0.2,-0.1,8,7,46,50,47.9,6-1,206,L/-,14,8000000.0,SJS
19,Kaapo Kahkonen,27.0,G,24,0,1,1,0,4,0,0,0,0,0,1,0,0,,1252.0,52:10,0.0,0.0,4.2,0,0,0,0,,6-2,217,-/L,4,2900000.0,SJS
20,Shakir Mukhamadullin,22.0,D,3,0,1,1,0,4,0,0,0,0,0,1,0,5,0.0,63.0,21:09,0.0,0.2,0.2,11,3,0,0,,6-4,178,L/-,0,832500.0,SJS
21,Mackenzie Blackwood,27.0,G,32,0,0,0,0,2,0,0,0,0,0,0,0,0,,1762.0,55:03,0.0,0.0,5.4,0,0,0,0,,6-4,225,-/L,5,2200000.0,SJS
22,Magnus Chrona,23.0,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,51.0,25:15,0.0,0.0,-0.4,0,0,0,0,,6-4,194,-/L,0,70000.0,SJS
