,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
20,Byron Froese,32.0,C,2,0,0,0,1,4,0,0,0,0,0,0,0,0,,22.0,11:00,-0.1,0.1,0.0,2,3,8,8,50.0,6-1,202,R/-,5,775000.0,VEG
21,Jiri Patera,24.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,256.0,51:13,0.0,0.0,0.9,0,0,0,0,,6-3,212,-/L,1,775000.0,VEG
22,Sheldon Rempal,28.0,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,7.0,7:18,0.0,0.0,0.0,0,0,0,0,,5-10,165,R/-,4,450000.0,VEG
0,Adrian Kempe,27.0,LW,42,15,24,39,12,42,12,2,1,1,13,11,0,129,11.6,783.0,18:39,3.1,1.4,4.5,15,50,1,3,25.0,6-2,200,L/-,7,5750000.0,LAK
1,Anze Kopitar,36.0,C,42,14,25,39,11,6,8,6,0,3,16,8,1,78,17.9,820.0,19:31,2.9,1.4,4.3,35,15,465,369,55.8,6-3,225,L/-,17,7000000.0,LAK
2,Kevin Fiala,27.0,LW,42,10,28,38,-3,40,7,3,0,0,15,13,0,110,9.1,738.0,17:35,2.6,0.8,3.4,17,19,6,18,25.0,5-10,204,L/-,9,4875000.0,LAK
3,Trevor Moore,28.0,LW,42,20,11,31,7,14,16,2,2,4,8,3,0,134,14.9,747.0,17:47,2.9,1.2,4.1,20,24,7,19,26.9,5-10,195,L/-,5,3500000.0,LAK
4,Quinton Byfield,21.0,C,42,12,18,30,11,18,8,4,0,2,12,6,0,83,14.5,652.0,15:31,2.3,1.2,3.5,11,11,15,28,34.9,6-5,220,L/-,3,832500.0,LAK
5,Phillip Danault,30.0,C,42,9,19,28,7,10,6,3,0,1,14,3,2,86,10.5,743.0,17:42,1.5,1.2,2.7,34,33,310,284,52.2,6-1,200,L/-,9,3750000.0,LAK
6,Drew Doughty,34.0,D,42,10,13,23,8,28,6,4,0,3,8,5,0,79,12.7,1097.0,26:07,1.8,3.2,5.0,83,55,0,0,,6-1,210,R/-,15,11000000.0,LAK
7,Pierre-Luc Dubois,25.0,LW,42,9,10,19,-11,30,7,2,0,1,10,0,0,80,11.3,667.0,15:53,0.9,0.4,1.3,16,29,226,239,48.6,6-4,225,L/-,6,1000000.0,LAK
8,Arthur Kaliyev,22.0,RW,36,6,8,14,3,12,3,3,0,0,7,1,0,79,7.6,483.0,13:24,0.6,0.7,1.3,9,16,0,1,0.0,6-2,210,R/-,3,832500.0,LAK
9,Matt Roy,28.0,D,42,2,11,13,7,14,2,0,0,0,8,1,2,85,2.4,867.0,20:38,0.4,2.5,2.9,96,70,0,0,,6-1,205,R/-,5,4200000.0,LAK
10,Jordan Spence,22.0,D,38,0,13,13,7,2,0,0,0,0,11,2,0,47,0.0,576.0,15:09,0.5,1.9,2.4,33,34,0,0,,5-10,180,R/-,2,775000.0,LAK
11,Alex Laferriere,22.0,RW,41,6,6,12,-4,24,6,0,0,1,5,1,0,82,7.3,533.0,13:00,0.3,0.5,0.8,11,39,4,5,44.4,6-1,205,R/-,0,787500.0,LAK
12,Vladislav Gavrikov,28.0,D,37,3,9,12,6,10,3,0,0,0,9,0,0,56,5.4,746.0,20:10,0.5,2.2,2.7,46,17,0,0,,6-3,221,L/-,4,775000.0,LAK
13,Carl Grundstrom,26.0,RW,42,7,4,11,0,10,5,1,1,1,4,0,0,80,8.8,476.0,11:19,0.4,0.6,1.0,12,80,2,6,25.0,6-0,195,L/-,5,1300000.0,LAK
14,Trevor Lewis,37.0,C,42,5,3,8,1,8,4,0,1,1,2,1,0,71,7.0,475.0,11:19,-0.1,0.6,0.6,28,27,74,104,41.6,6-1,201,R/-,15,775000.0,LAK
15,Andreas Englund,28.0,D,42,1,6,7,-1,48,1,0,0,0,6,0,0,25,4.0,550.0,13:06,0.1,1.2,1.3,44,93,0,0,,6-3,189,L/-,5,1000000.0,LAK
16,Jaret Anderson-Dolan,24.0,C,14,0,3,3,-1,4,0,0,0,0,3,0,0,9,0.0,147.0,10:29,-0.1,0.1,0.0,8,12,14,19,42.4,5-11,200,L/-,5,775000.0,LAK
17,Cam Talbot,36.0,G,30,0,1,1,0,2,0,0,0,0,1,0,0,0,,1774.0,59:09,0.0,0.0,5.9,0,0,0,0,,6-4,201,-/L,10,775000.0,LAK
18,Brandt Clarke,20.0,D,3,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,46.0,15:22,-0.1,0.0,-0.1,2,1,0,0,,6-2,190,R/-,1,832500.0,LAK
19,David Rittich,31.0,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,319.0,53:10,0.0,0.0,1.2,0,0,0,0,,6-3,206,-/L,7,875000.0,LAK
0,Connor McDavid,27.0,C,39,16,43,59,12,22,12,4,0,1,25,18,0,125,12.8,840.0,21:33,4.9,1.4,6.3,19,55,240,230,51.1,6-1,193,L/-,8,1000000.0,EDM
1,Leon Draisaitl,28.0,C,41,22,28,50,6,48,13,9,0,3,17,10,1,122,18.0,864.0,21:04,4.6,1.2,5.7,14,16,454,331,57.8,6-2,208,L/-,9,8000000.0,EDM
2,Zach Hyman,31.0,LW,40,27,17,44,14,34,18,9,0,4,13,4,0,152,17.8,788.0,19:42,4.7,1.4,6.1,25,30,3,6,33.3,6-1,211,R/-,8,7650000.0,EDM
3,Evan Bouchard,24.0,D,41,11,31,42,6,16,6,5,0,4,16,15,0,117,9.4,938.0,22:53,4.0,2.3,6.3,58,30,0,0,,6-3,194,R/-,4,3500000.0,EDM
