,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
2,Morgan Rielly,29.0,D,43,7,28,35,1,4,6,1,0,0,17,11,0,108,6.5,1049.0,24:24,2.7,1.8,4.6,86,37,0,0,,6-1,222,L/-,10,5000000.0,TOR
3,John Tavares,33.0,C,43,12,22,34,-4,10,8,4,0,4,16,6,0,156,7.7,787.0,18:18,2.3,0.6,2.8,23,48,456,296,60.6,6-1,216,L/-,14,910000.0,TOR
4,Max Domi,28.0,LW,43,4,19,23,2,56,3,1,0,0,18,1,0,62,6.5,552.0,12:51,1.1,0.6,1.7,9,22,125,122,50.6,5-10,194,L/-,8,3000000.0,TOR
5,Calle Jarnkrok,32.0,C,43,10,9,19,13,10,9,0,1,3,7,1,1,80,12.5,656.0,15:16,1.0,1.1,2.1,11,31,58,62,48.3,6-0,192,R/-,10,775000.0,TOR
6,Tyler Bertuzzi,28.0,LW,43,6,13,19,4,22,4,2,0,0,12,1,0,83,7.2,678.0,15:45,0.5,0.8,1.3,23,38,3,9,25.0,6-1,186,L/-,7,775000.0,TOR
7,Matthew Knies,21.0,LW,41,8,9,17,2,21,8,0,0,1,7,2,0,55,14.5,579.0,14:07,0.8,0.6,1.4,13,73,0,1,0.0,6-2,210,L/-,1,832500.0,TOR
8,Jake McCabe,30.0,D,37,2,13,15,0,25,1,1,0,0,11,1,1,40,5.0,748.0,20:14,0.7,1.3,2.0,59,81,0,0,,6-1,204,L/-,10,2000000.0,TOR
9,Nicholas Robertson,22.0,LW,26,6,6,12,1,0,5,1,0,0,5,1,0,37,16.2,280.0,10:46,1.0,0.3,1.3,11,15,0,0,,5-9,178,L/-,3,775000.0,TOR
10,T.J. Brodie,33.0,D,42,0,10,10,10,20,0,0,0,0,10,0,0,24,0.0,916.0,21:48,-0.2,2.3,2.1,93,22,0,0,,6-2,187,L/-,13,,TOR
11,Noah Gregor,25.0,C,42,5,4,9,-7,13,3,1,1,1,4,0,0,71,7.0,477.0,11:21,0.0,0.2,0.2,19,76,13,8,61.9,6-0,190,L/-,4,775000.0,TOR
12,Timothy Liljegren,24.0,D,26,2,7,9,1,6,2,0,0,0,4,2,1,26,7.7,496.0,19:04,0.4,0.9,1.4,58,31,0,0,,6-1,192,R/-,4,1500000.0,TOR
13,David Kampf,29.0,C,42,4,4,8,-6,14,4,0,0,1,4,0,0,41,9.8,551.0,13:07,-0.4,0.3,-0.1,15,38,238,233,50.5,6-2,197,L/-,6,1050000.0,TOR
14,Pontus Holmberg,24.0,RW,17,2,6,8,5,8,2,0,0,0,6,0,0,21,9.5,180.0,10:36,0.5,0.3,0.8,10,8,22,28,44.0,6-0,188,L/-,1,775000.0,TOR
15,Bobby McMann,27.0,F,21,2,5,7,-3,26,2,0,0,0,5,0,0,31,6.5,201.0,9:34,0.3,0.1,0.4,3,32,0,1,0.0,6-2,210,L/-,1,775000.0,TOR
16,Mark Giordano,40.0,D,30,1,5,6,7,29,1,0,0,0,5,0,0,39,2.6,516.0,17:13,0.0,1.4,1.4,61,29,0,0,,6-0,205,L/-,17,800000.0,TOR
17,Conor Timmins,25.0,D,14,1,5,6,5,6,1,0,0,0,3,2,0,13,7.7,225.0,16:03,0.4,0.7,1.1,16,14,0,0,,6-2,202,R/-,4,1100000.0,TOR
18,William Lagesson,27.0,D,21,0,3,3,1,19,0,0,0,0,3,0,0,9,0.0,316.0,15:02,-0.1,0.6,0.5,32,33,0,0,,6-2,211,L/-,3,775000.0,TOR
19,Simon Benoit,25.0,D,29,0,1,1,1,26,0,0,0,0,1,0,0,26,0.0,456.0,15:43,-0.5,0.8,0.4,47,82,0,0,,6-3,203,L/-,3,775000.0,TOR
20,Martin Jones,34.0,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,874.0,54:37,0.0,0.0,3.3,0,0,0,0,,6-5,203,-/L,10,775000.0,TOR
21,Ilya Samsonov,26.0,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,851.0,53:10,0.0,0.0,0.6,0,0,0,0,,6-3,217,-/L,4,3550000.0,TOR
0,Alex DeBrincat,26.0,RW,44,17,23,40,1,21,10,7,0,1,17,6,0,129,13.2,802.0,18:13,3.4,0.8,4.2,20,19,11,10,52.4,5-8,180,R/-,6,8250000.0,DET
1,Dylan Larkin,27.0,C,38,18,21,39,-4,33,9,7,2,3,11,10,0,133,13.5,764.0,20:06,3.5,0.6,4.1,19,14,387,323,54.5,6-1,199,L/-,8,10000000.0,DET
2,Lucas Raymond,21.0,LW,44,12,22,34,-14,16,10,2,0,3,15,7,0,81,14.8,778.0,17:40,2.4,0.3,2.7,11,32,1,3,25.0,5-11,188,R/-,2,832500.0,DET
3,Shayne Gostisbehere,30.0,D,43,7,23,30,-17,12,5,2,0,1,7,16,0,75,9.3,834.0,19:23,2.6,0.2,2.8,40,13,0,0,,5-11,183,L/-,9,4125000.0,DET
4,Daniel Sprong,26.0,RW,44,11,17,28,5,20,9,2,0,0,12,5,0,105,10.5,565.0,12:50,2.3,0.8,3.0,9,15,8,3,72.7,6-0,195,R/-,7,2000000.0,DET
5,J.T. Compher,28.0,LW,39,9,15,24,-1,26,5,3,1,0,12,3,0,51,17.6,756.0,19:23,1.2,0.7,1.9,25,20,221,285,43.7,6-0,190,R/-,7,5500000.0,DET
6,Moritz Seider,22.0,D,44,5,18,23,2,28,2,3,0,0,9,9,0,75,6.7,986.0,22:25,1.5,1.9,3.4,103,84,0,0,,6-3,205,R/-,2,832500.0,DET
7,Andrew Copp,29.0,C,43,8,14,22,1,18,7,1,0,2,12,1,1,73,11.0,720.0,16:45,1.0,0.8,1.7,24,7,252,227,52.6,6-1,203,L/-,9,6250000.0,DET
8,Robby Fabbri,28.0,C,32,13,7,20,-2,10,11,2,0,3,5,2,0,41,31.7,427.0,13:20,2.1,0.4,2.4,16,12,18,19,48.6,6-1,185,L/-,7,4250000.0,DET
9,Michael Rasmussen,24.0,C,44,10,10,20,12,27,9,0,1,2,8,0,2,63,15.9,667.0,15:10,1.1,1.1,2.2,48,50,43,56,43.4,6-6,220,L/-,4,1900000.0,DET
10,David Perron,35.0,LW,38,9,11,20,-10,35,4,5,0,3,5,6,0,69,13.0,574.0,15:07,1.3,0.2,1.5,12,30,8,11,42.1,6-0,195,R/-,16,5150000.0,DET
11,Jake Walman,27.0,D,38,9,8,17,2,22,8,1,0,2,4,3,1,63,14.3,758.0,19:56,1.6,1.5,3.1,111,16,0,0,,6-1,218,L/-,4,3500000.0,DET
12,Joe Veleno,24.0,C,42,8,9,17,-9,6,7,1,0,0,7,1,1,51,15.7,638.0,15:12,0.7,0.3,1.0,18,33,184,198,48.2,6-1,201,L/-,3,,DET
13,Patrick Kane,35.0,RW,19,7,9,16,-3,4,6,1,0,1,6,3,0,63,11.1,339.0,17:51,1.3,0.2,1.6,6,3,0,0,,5-10,177,L/-,16,2750000.0,DET
14,Jeff Petry,36.0,D,35,2,11,13,2,16,2,0,0,0,11,0,0,42,4.8,650.0,18:34,0.7,1.3,1.9,65,46,0,0,,6-3,208,R/-,13,1687500.0,DET
15,Ben Chiarot,32.0,D,44,3,9,12,2,34,3,0,0,0,9,0,0,61,4.9,865.0,19:39,0.4,1.6,2.0,91,84,0,0,,6-3,224,L/-,10,5250000.0,DET
16,Olli Maatta,29.0,D,36,2,9,11,12,4,2,0,0,0,9,0,0,21,9.5,542.0,15:03,0.6,1.8,2.4,41,29,0,0,,6-2,207,L/-,10,3000000.0,DET
17,Christian Fischer,26.0,RW,41,2,7,9,7,24,1,0,1,0,7,0,0,43,4.7,435.0,10:37,-0.1,0.7,0.6,10,49,57,86,39.9,6-2,212,R/-,7,1125000.0,DET
18,Justin Holl,32.0,D,30,0,5,5,8,22,0,0,0,0,5,0,0,9,0.0,455.0,15:10,-0.1,1.4,1.3,32,30,0,0,,6-4,194,R/-,6,3400000.0,DET
19,Klim Kostin,24.0,C,24,2,1,3,2,29,2,0,0,0,1,0,0,19,10.5,208.0,8:39,-0.1,0.3,0.2,5,40,3,0,100.0,6-4,232,L/-,4,1800000.0,DET
20,Alex Lyon,31.0,G,15,0,1,1,0,0,0,0,0,0,0,1,0,0,,852.0,56:48,0.0,0.0,3.6,0,0,0,0,,6-1,196,-/L,6,900000.0,DET
21,James Reimer,35.0,G,13,0,0,0,0,4,0,0,0,0,0,0,0,0,,727.0,55:56,0.0,0.0,1.7,0,0,0,0,,6-2,200,-/L,13,1500000.0,DET
0,Nikita Kucherov,30.0,RW,44,28,47,75,-1,12,18,10,0,5,23,24,0,192,14.6,960.0,21:50,7.2,1.2,8.4,16,18,2,2,50.0,5-11,181,L/-,9,5000000.0,TBL
1,Brayden Point,27.0,C,45,21,26,47,-11,8,14,7,0,5,16,10,0,124,16.9,918.0,20:23,4.0,0.8,4.8,30,8,158,198,44.4,5-11,180,R/-,7,5000000.0,TBL
2,Victor Hedman,33.0,D,43,8,36,44,-1,38,4,4,0,1,20,16,0,88,9.1,1051.0,24:27,3.7,2.4,6.1,52,22,0,0,,6-7,244,L/-,14,5000000.0,TBL
3,Steven Stamkos,33.0,C,42,19,23,42,-18,22,9,10,0,2,8,15,0,128,14.8,786.0,18:43,3.7,0.3,4.0,15,31,174,163,51.6,6-0,182,R/-,15,1000000.0,TBL
4,Brandon Hagel,25.0,LW,45,13,23,36,-3,41,13,0,0,1,19,4,0,106,12.3,853.0,18:57,2.4,1.0,3.3,26,18,19,24,44.2,6-2,179,L/-,4,2050000.0,TBL
5,Anthony Cirelli,26.0,C,44,10,10,20,-8,28,7,3,0,0,9,1,0,82,12.2,795.0,18:05,0.7,0.7,1.4,40,24,236,249,48.7,6-0,189,L/-,6,1625000.0,TBL
6,Darren Raddysh,27.0,D,45,3,12,15,-12,6,3,0,0,2,10,2,0,58,5.2,865.0,19:13,0.7,1.2,1.8,52,39,0,0,,6-1,200,R/-,2,775000.0,TBL
7,Alex Barre-Boulet,26.0,F,31,6,3,9,-8,10,4,2,0,0,3,0,0,43,14.0,358.0,11:32,0.5,0.2,0.6,7,16,14,11,56.0,5-10,180,L/-,3,775000.0,TBL
8,Conor Sheary,31.0,LW,27,1,8,9,0,6,1,0,0,0,8,0,0,23,4.3,289.0,10:43,0.2,0.4,0.5,19,4,1,2,33.3,5-9,179,L/-,8,1500000.0,TBL
9,Luke Glendening,34.0,C,45,7,1,8,-1,27,6,0,1,1,1,0,0,25,28.0,518.0,11:31,0.0,0.6,0.6,31,58,301,222,57.6,5-11,190,R/-,10,800000.0,TBL
10,Tyler Motte,28.0,C,35,3,2,5,-3,8,3,0,0,1,2,0,0,46,6.5,435.0,12:26,-0.4,0.4,0.0,16,43,31,39,44.3,5-10,192,L/-,7,800000.0,TBL
11,Calvin de Haan,32.0,D,40,2,3,5,-8,14,2,0,0,0,3,0,0,44,4.5,656.0,16:25,-0.1,1.0,0.8,49,52,0,0,,6-1,195,L/-,11,775000.0,TBL
12,Erik Cernak,26.0,D,39,0,5,5,-3,23,0,0,0,0,5,0,0,31,0.0,743.0,19:03,-0.4,1.5,1.1,63,90,0,0,,6-4,224,R/-,5,1260000.0,TBL
13,Austin Watson,32.0,LW,24,2,1,3,2,67,2,0,0,0,1,0,0,14,14.3,162.0,6:45,0.0,0.3,0.3,12,59,0,1,0.0,6-4,204,R/-,9,776665.0,TBL
14,Waltteri Merela,25.0,F,15,1,0,1,0,4,1,0,0,0,0,0,0,17,5.9,156.0,10:22,-0.2,0.2,0.0,4,20,1,1,50.0,6-3,210,R/-,0,775000.0,TBL
15,Emil Martinsen Lilleberg,22.0,D,5,0,1,1,-3,2,0,0,0,0,1,0,0,1,0.0,78.0,15:38,0.0,0.0,0.0,5,17,0,0,,6-2,192,L/-,0,775000.0,TBL
16,Andrei Vasilevskiy,29.0,G,22,0,1,1,0,2,0,0,0,0,1,0,0,0,,1299.0,59:03,0.0,0.0,3.2,0,0,0,0,,6-4,220,-/L,9,4000000.0,TBL
17,Maxwell Crozier,23.0,D,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,29.0,14:36,0.0,0.1,0.0,4,1,0,0,,6-1,195,R/-,0,775000.0,TBL
18,Jonas Johansson,28.0,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,1217.0,57:58,0.0,0.0,2.9,0,0,0,0,,6-5,220,-/L,4,775000.0,TBL
19,Philippe Myers,27.0,D,4,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,53.0,13:08,-0.1,0.0,-0.1,5,7,0,0,,6-6,219,R/-,5,900000.0,TBL
0,Nick Suzuki,24.0,C,45,12,25,37,-14,16,6,6,0,0,12,13,0,104,11.5,951.0,21:08,2.3,0.6,2.8,22,31,355,293,54.8,5-11,212,R/-,4,10000000.0,MTL
1,Cole Caufield,23.0,RW,45,15,19,34,-4,12,9,6,0,6,10,9,0,162,9.3,865.0,19:13,2.5,0.8,3.3,7,30,5,7,41.7,5-7,174,R/-,3,4975000.0,MTL
2,Sean Monahan,29.0,C,45,11,17,28,-6,10,4,5,2,2,11,6,0,92,12.0,828.0,18:23,1.6,0.7,2.3,23,9,371,284,56.6,6-2,196,L/-,10,1985000.0,MTL
3,Juraj Slafkovsky,19.0,LW,45,6,11,17,-10,25,4,2,0,1,10,1,0,63,9.5,756.0,16:49,0.2,0.5,0.7,41,65,6,10,37.5,6-3,238,L/-,1,855000.0,MTL
4,Brendan Gallagher,31.0,RW,45,7,8,15,-19,32,6,1,0,1,5,3,0,99,7.1,640.0,14:14,0.4,0.0,0.5,18,31,7,14,33.3,5-9,186,R/-,11,8000000.0,MTL
5,Jake Evans,27.0,C,45,2,11,13,3,10,2,0,0,0,11,0,0,41,4.9,695.0,15:27,-0.4,0.9,0.5,35,41,282,266,51.5,6-0,186,R/-,4,1700000.0,MTL
6,Josh Anderson,29.0,RW,41,7,5,12,-10,44,7,0,0,0,3,2,0,93,7.5,684.0,16:41,0.0,0.4,0.4,16,72,8,5,61.5,6-3,218,R/-,9,8000000.0,MTL
7,Justin Barron,22.0,D,40,6,6,12,-2,16,5,1,0,1,6,0,0,51,11.8,754.0,18:51,0.9,1.3,2.2,51,36,0,0,,6-2,201,R/-,2,832500.0,MTL
8,David Savard,33.0,D,23,4,7,11,-6,12,4,0,0,0,7,0,0,28,14.3,483.0,21:00,0.9,0.5,1.4,73,21,0,0,,6-1,235,R/-,12,4200000.0,MTL
9,Kaiden Guhle,22.0,D,41,3,8,11,-4,33,3,0,0,1,8,0,0,56,5.4,847.0,20:40,0.3,1.4,1.7,124,57,0,0,,6-2,205,L/-,1,832500.0,MTL
10,Michael Pezzetta,25.0,C,34,2,7,9,3,35,2,0,0,0,7,0,0,31,6.5,262.0,7:43,0.4,0.4,0.8,16,115,3,3,50.0,6-1,210,L/-,2,800000.0,MTL
11,Joel Armia,30.0,RW,29,7,1,8,2,18,5,0,2,2,1,0,0,52,13.5,418.0,14:25,0.3,0.5,0.9,17,15,3,7,30.0,6-3,216,R/-,9,4800000.0,MTL
12,Johnathan Kovacevic,26.0,D,38,5,2,7,6,18,5,0,0,0,2,0,0,28,17.9,647.0,17:01,0.4,1.7,2.1,51,30,0,0,,6-4,208,R/-,2,775000.0,MTL
13,Jesse Ylonen,24.0,RW,38,3,4,7,1,8,3,0,0,0,4,0,0,34,8.8,392.0,10:18,-0.1,0.5,0.4,25,17,5,2,71.4,6-0,167,R/-,3,775000.0,MTL
14,Jordan Harris,23.0,D,28,1,5,6,-3,14,1,0,0,0,5,0,0,22,4.5,491.0,17:32,0.1,0.7,0.8,43,7,0,0,,5-11,189,L/-,2,1400000.0,MTL
15,Rafael Harvey-Pinard,25.0,LW,18,1,4,5,-1,4,1,0,0,0,3,0,1,16,6.3,248.0,13:46,-0.1,0.2,0.2,19,18,2,7,22.2,5-9,181,L/-,2,1200000.0,MTL
16,Jayden Struble,22.0,D,27,2,2,4,0,9,2,0,0,0,2,0,0,23,8.7,415.0,15:23,0.1,0.8,0.9,31,42,0,0,,6-0,202,L/-,0,775000.0,MTL
17,Mitchell Stephens,26.0,C,22,2,1,3,3,4,2,0,0,0,1,0,0,14,14.3,199.0,9:04,0.0,0.3,0.3,7,5,70,54,56.5,5-11,190,R/-,3,775000.0,MTL
