,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
1,Dylan Strome,26.0,C,42,15,11,26,-3,10,10,5,0,3,8,3,0,86,17.4,736.0,17:31,1.9,0.9,2.8,30,5,318,302,51.3,6-3,200,L/-,7,4500000.0,WSH
2,John Carlson,34.0,D,42,3,21,24,0,18,2,1,0,1,13,8,0,93,3.2,1079.0,25:41,1.2,3.0,4.2,95,20,0,0,,6-3,215,R/-,14,4000000.0,WSH
3,Tom Wilson,29.0,RW,41,12,8,20,-12,72,8,3,1,2,7,1,0,109,11.0,749.0,18:17,1.0,0.6,1.6,33,114,8,20,28.6,6-4,220,R/-,10,5100000.0,WSH
4,Anthony Mantha,29.0,RW,38,12,7,19,4,6,11,1,0,0,4,3,0,67,17.9,527.0,13:52,1.5,0.9,2.4,13,18,2,5,28.6,6-5,234,L/-,8,6500000.0,WSH
5,Aliaksei Protas,23.0,C,41,3,15,18,-2,4,3,0,0,0,14,0,1,54,5.6,533.0,13:00,0.5,0.7,1.2,22,12,22,40,35.5,6-6,225,L/-,2,775000.0,WSH
6,Connor McMichael,23.0,C,40,7,8,15,-3,20,5,1,1,2,7,0,1,71,9.9,607.0,15:11,0.4,0.7,1.1,16,10,127,178,41.6,6-0,180,L/-,3,832500.0,WSH
7,Evgeny Kuznetsov,31.0,C,38,6,8,14,-12,24,6,0,0,1,5,3,0,65,9.2,724.0,19:03,-0.1,0.5,0.5,10,6,215,265,44.8,6-2,207,L/-,10,6000000.0,WSH
8,Nic Dowd,33.0,C,33,7,5,12,7,18,7,0,0,2,5,0,0,32,21.9,519.0,15:44,0.4,1.0,1.4,48,36,265,271,49.4,6-1,193,R/-,8,1300000.0,WSH
9,Nicolas Aube-Kubel,27.0,RW,30,4,7,11,7,19,4,0,0,0,7,0,0,32,12.5,389.0,12:58,0.4,0.8,1.2,15,48,6,8,42.9,6-0,207,R/-,5,1000000.0,WSH
10,Beck Malenstyn,25.0,LW,42,4,6,10,3,12,4,0,0,0,6,0,0,50,8.0,593.0,14:07,-0.3,0.9,0.6,50,99,12,16,42.9,6-3,200,L/-,3,775000.0,WSH
