,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
30,Sean Walker,29.0,D,44.0,4.0,11.0,15.0,6.0,24.0,2.0,0.0,2.0,1.0,9.0,1.0,1.0,75.0,5.3,884.0,20:05,0.8,2.6,3.4,63.0,53.0,0.0,0.0,,5-11,195.0,R/-,5.0,PHI,LD/RD,3.2,2650000.0
31,Ryan Poehling,25.0,C,39.0,5.0,8.0,13.0,-6.0,6.0,4.0,0.0,1.0,1.0,7.0,0.0,1.0,51.0,9.8,532.0,13:38,0.3,0.5,0.8,40.0,21.0,191.0,203.0,48.5,6-2,196.0,L/-,4.0,PHI,"C, LW",1.7,1400000.0
32,Nick Seeler,30.0,D,44.0,0.0,7.0,7.0,14.0,63.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,56.0,0.0,752.0,17:05,-0.3,2.9,2.6,120.0,60.0,0.0,0.0,,6-2,201.0,L/-,5.0,PHI,LD/RD,0.9,775000.0
33,Garnet Hathaway,32.0,RW,44.0,4.0,2.0,6.0,-10.0,68.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,43.0,9.3,489.0,11:06,-0.4,0.3,-0.1,35.0,106.0,12.0,6.0,66.7,6-3,208.0,R/-,8.0,PHI,"RW, LW",2.8,2375000.0
34,Noah Cates,24.0,LW,22.0,1.0,3.0,4.0,-3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0,4.8,315.0,14:19,-0.4,0.3,-0.1,15.0,5.0,107.0,141.0,43.1,6-2,194.0,L/-,2.0,PHI,"C, LW",3.1,2625000.0
35,Rasmus Ristolainen,29.0,D,24.0,1.0,2.0,3.0,-5.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,2.6,412.0,17:11,-0.1,0.6,0.5,35.0,38.0,0.0,0.0,,6-4,221.0,R/-,10.0,PHI,RD,6.1,5100000.0
36,Nicolas Deslauriers,32.0,LW,42.0,0.0,3.0,3.0,-8.0,46.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,0.0,370.0,8:49,-0.7,0.2,-0.5,18.0,105.0,4.0,5.0,44.4,6-1,220.0,L/-,10.0,PHI,"LW, RW",2.1,1750000.0
37,Marc Staal,37.0,D,17.0,1.0,1.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,14.3,225.0,13:13,0.0,0.6,0.6,21.0,15.0,0.0,0.0,,6-4,208.0,L/-,16.0,PHI,LD,1.3,1100000.0
38,Jamie Drysdale,21.0,D,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,42.0,20:58,0.1,0.2,0.3,3.0,3.0,0.0,0.0,,5-11,183.0,R/-,3.0,PHI,RD,2.8,2300000.0
39,Carter Hart,25.0,G,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1415.0,56:36,0.0,0.0,4.7,0.0,0.0,0.0,0.0,,6-2,181.0,-/L,5.0,PHI,G,4.8,3979000.0
40,Samuel Ersson,24.0,G,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1135.0,59:44,0.0,0.0,3.2,0.0,0.0,0.0,0.0,,6-3,196.0,-/L,1.0,PHI,G,1.0,859167.0
41,Sebastian Aho,26.0,F,40.0,15.0,33.0,48.0,8.0,18.0,10.0,4.0,1.0,4.0,16.0,16.0,1.0,121.0,12.4,785.0,19:37,3.9,1.3,5.1,9.0,12.0,269.0,232.0,53.7,6-0,176.0,L/-,7.0,CAR,C,10.1,8460250.0
42,Sebastian Aho,26.0,F,40.0,15.0,33.0,48.0,8.0,18.0,10.0,4.0,1.0,4.0,16.0,16.0,1.0,121.0,12.4,785.0,19:37,3.9,1.3,5.1,9.0,12.0,269.0,232.0,53.7,6-0,176.0,L/-,7.0,CAR,LD,1.0,825000.0
43,Sebastian Aho,27.0,D,35.0,1.0,5.0,6.0,-9.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,34.0,2.9,563.0,16:06,0.0,0.4,0.4,51.0,22.0,0.0,0.0,,5-10,186.0,L/-,4.0,NYI,C,10.1,8460250.0
44,Sebastian Aho,27.0,D,35.0,1.0,5.0,6.0,-9.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,34.0,2.9,563.0,16:06,0.0,0.4,0.4,51.0,22.0,0.0,0.0,,5-10,186.0,L/-,4.0,NYI,LD,1.0,825000.0
45,Seth Jarvis,21.0,C,43.0,15.0,18.0,33.0,3.0,8.0,7.0,8.0,0.0,3.0,15.0,2.0,1.0,102.0,14.7,819.0,19:02,2.3,1.2,3.5,25.0,62.0,95.0,123.0,43.6,5-10,175.0,R/-,2.0,CAR,RW,1.1,894167.0
46,Andrei Svechnikov,23.0,RW,28.0,10.0,18.0,28.0,2.0,30.0,6.0,4.0,0.0,5.0,9.0,9.0,0.0,68.0,14.7,478.0,17:05,2.3,0.7,3.0,8.0,63.0,0.0,0.0,,6-2,195.0,L/-,5.0,CAR,"LW, RW",9.3,7750000.0
47,Michael Bunting,28.0,LW,42.0,9.0,18.0,27.0,-12.0,37.0,4.0,5.0,0.0,1.0,11.0,7.0,0.0,67.0,13.4,617.0,14:42,1.7,0.3,2.1,13.0,12.0,6.0,14.0,30.0,6-0,192.0,L/-,4.0,CAR,LW,5.4,4500000.0
48,Stefan Noesen,30.0,RW,42.0,11.0,15.0,26.0,9.0,22.0,8.0,3.0,0.0,1.0,11.0,4.0,0.0,56.0,19.6,512.0,12:11,2.1,1.0,3.1,9.0,48.0,17.0,38.0,30.9,6-1,205.0,R/-,9.0,CAR,"LW, RW",0.9,762500.0
